base,winner,cfr_total,vf_total,pr_total,winner_lines,winner_hard,winner_struct,winner_goto,winner_bytecode,winner_ext,cfr_present,vf_present,pr_present
io/legado/app/help/JsExtensions,vf,3244.00,-447.56,840.42,1553,0,0,0,0,.kt,1,1,1
io/legado/app/help/SourceAnalyzer,vf,469.00,-513.26,151079.25,1388,0,0,0,0,.kt,1,1,1
io/legado/app/help/coroutine/CompositeCoroutine,vf,-82.62,-135.14,2138.36,132,0,0,0,0,.kt,1,1,1
io/legado/app/help/coroutine/Coroutine,pr,16673.00,1416.76,-91.44,322,0,0,0,0,.java,1,1,1
io/legado/app/help/coroutine/CoroutineContainer,vf,-45.54,-100.38,-40.46,19,0,0,0,0,.kt,1,1,1
io/legado/app/help/http/ByteConverter,vf,-30.76,-93.38,-42.56,19,0,0,0,0,.kt,1,1,1
io/legado/app/help/http/CookieStore,vf,-128.04,-197.16,114051.92,233,0,0,0,0,.kt,1,1,1
io/legado/app/help/http/CoroutinesCallAdapterFactory,vf,-81.14,-131.40,-62.70,145,0,0,0,0,.kt,1,1,1
io/legado/app/help/http/EncodeConverter,vf,-44.84,-106.02,-52.84,51,0,0,0,0,.kt,1,1,1
io/legado/app/help/http/HttpHelperKt,vf,-75.52,-130.44,-67.86,122,0,0,0,0,.kt,1,1,1
io/legado/app/help/http/OkHttpUtilsKt,vf,4133.00,-284.22,-150.22,586,0,0,0,0,.kt,1,1,1
io/legado/app/help/http/RequestMethod,cfr,-44.62,-40.12,-40.30,31,0,0,0,0,.java,1,1,1
io/legado/app/help/http/Res,vf,-64.34,-113.94,-55.54,47,0,0,0,0,.kt,1,1,1
io/legado/app/help/http/SSLHelper,vf,-70.10,-124.90,-72.64,170,0,0,0,0,.kt,1,1,1
io/legado/app/help/http/StrResponse,vf,-61.06,-116.04,-60.82,77,0,0,0,0,.kt,1,1,1
io/legado/app/help/http/api/CookieManager,vf,-46.68,-102.44,-40.60,22,0,0,0,0,.kt,1,1,1
io/legado/app/lib/icu4j/CharsetDetector,pr,-130.80,-125.56,-137.00,275,0,0,0,0,.java,1,1,1
io/legado/app/lib/icu4j/CharsetMatch,pr,-66.74,-66.66,-69.68,109,0,0,0,0,.java,1,1,1
io/legado/app/lib/icu4j/CharsetRecog_2022,vf,-68.64,-68.94,-68.68,122,0,0,0,0,.java,1,1,1
io/legado/app/lib/icu4j/CharsetRecog_UTF8,pr,-76.94,-76.88,-77.00,75,0,0,0,0,.java,1,1,1
io/legado/app/lib/icu4j/CharsetRecog_Unicode,pr,-102.70,-97.34,-107.64,182,0,0,0,0,.java,1,1,1
io/legado/app/lib/icu4j/CharsetRecog_mbcs,vf,-123.84,-140.06,-134.36,753,0,0,0,0,.java,1,1,1
io/legado/app/lib/icu4j/CharsetRecog_sbcs,vf,-168.74,-265.16,-174.02,5683,0,0,0,0,.java,1,1,1
io/legado/app/lib/icu4j/CharsetRecognizer,cfr,-41.44,-41.24,-41.34,22,0,0,0,0,.java,1,1,1
io/legado/app/model/Debug,vf,-44.72,-92.24,-43.68,12,0,0,0,0,.kt,1,1,1
io/legado/app/model/DebugKt,cfr,-41.52,-41.14,-40.46,26,0,0,0,0,.java,1,1,1
io/legado/app/model/DebugLog,vf,-56.16,-96.50,-42.70,25,0,0,0,0,.kt,1,1,1
io/legado/app/model/DebugLogKt,vf,-42.60,-92.24,-40.46,12,0,0,0,0,.kt,1,1,1
io/legado/app/model/Debugger,vf,5624.00,-269.80,-179.68,815,0,0,0,0,.kt,1,1,1
io/legado/app/model/DebuggerKt,vf,-42.60,-92.24,-40.46,12,0,0,0,0,.kt,1,1,1
io/legado/app/model/analyzeRule/AnalyzeByJSonPath,vf,-145.82,-199.02,-140.94,226,0,0,0,0,.kt,1,1,1
io/legado/app/model/analyzeRule/AnalyzeByJSoup,cfr,-364.30,1042.64,719.28,940,0,0,0,0,.java,1,1,1
io/legado/app/model/analyzeRule/AnalyzeByRegex,vf,-68.36,-113.08,-60.12,79,0,0,0,0,.kt,1,1,1
io/legado/app/model/analyzeRule/AnalyzeByXPath,vf,-143.30,-200.70,109355.10,185,0,0,0,0,.kt,1,1,1
io/legado/app/model/analyzeRule/AnalyzeRule,vf,1827.00,-655.78,999.14,1664,0,0,0,0,.kt,1,1,1
io/legado/app/model/analyzeRule/AnalyzeRuleKt,cfr,-41.52,-41.14,-40.46,26,0,0,0,0,.java,1,1,1
io/legado/app/model/analyzeRule/AnalyzeUrl,vf,3486.50,-757.04,138591.77,2052,0,0,0,0,.kt,1,1,1
io/legado/app/model/analyzeRule/QueryTTF,vf,-270.62,-281.96,-257.22,673,0,0,0,0,.java,1,1,1
io/legado/app/model/analyzeRule/RuleAnalyzer,vf,-256.56,-314.16,-246.44,558,0,0,0,0,.kt,1,1,1
io/legado/app/model/analyzeRule/RuleData,vf,-52.50,-104.66,-52.30,33,0,0,0,0,.kt,1,1,1
io/legado/app/model/analyzeRule/RuleDataInterface,vf,-45.84,-97.50,-41.76,25,0,0,0,0,.kt,1,1,1
io/legado/app/model/localBook/CbzFile,vf,-120.60,-188.12,-116.94,206,0,0,0,0,.kt,1,1,1
io/legado/app/model/localBook/EpubFile,vf,1208.50,-318.70,113229.29,510,0,0,0,0,.kt,1,1,1
io/legado/app/model/localBook/EpubFileKt,vf,-42.60,-92.24,-40.46,12,0,0,0,0,.kt,1,1,1
io/legado/app/model/localBook/LocalBook,vf,-68.20,-149.88,-63.70,119,0,0,0,0,.kt,1,1,1
io/legado/app/model/localBook/PdfFile,vf,-111.22,-181.48,-107.32,199,0,0,0,0,.kt,1,1,1
io/legado/app/model/localBook/TextFile,cfr,-162.94,604.62,129370.68,622,0,0,0,0,.java,1,1,1
io/legado/app/model/localBook/TextFileKt,cfr,-41.52,-41.14,-40.46,26,0,0,0,0,.java,1,1,1
io/legado/app/model/localBook/UmdFile,vf,-99.58,-170.92,-108.60,196,0,0,0,0,.kt,1,1,1
io/legado/app/model/rss/Rss,vf,1859.00,-121.80,-61.18,190,0,0,0,0,.kt,1,1,1
io/legado/app/model/rss/RssParserByRule,vf,-118.54,-167.66,-116.98,183,0,0,0,0,.kt,1,1,1
io/legado/app/model/rss/RssParserDefault,vf,-136.36,-187.42,-137.52,171,0,0,0,0,.kt,1,1,1
io/legado/app/model/webBook/BookChapterList,vf,16713.50,-277.96,145740.66,773,0,0,0,0,.kt,1,1,1
io/legado/app/model/webBook/BookContent,vf,3447.00,-196.86,126980.31,593,0,0,0,0,.kt,1,1,1
io/legado/app/model/webBook/BookInfo,vf,564.00,-211.06,-153.32,253,0,0,0,0,.kt,1,1,1
io/legado/app/model/webBook/BookList,vf,3230.00,-265.60,124042.59,605,0,0,0,0,.kt,1,1,1
io/legado/app/model/webBook/WebBook,vf,8485.00,-297.16,6700.96,983,0,0,0,0,.kt,1,1,1
io/legado/app/model/webBook/WebBookKt,vf,-42.60,-92.24,-40.46,12,0,0,0,0,.kt,1,1,1
io/legado/app/utils/ACache,vf,266.00,-300.84,-230.38,642,0,0,0,0,.kt,1,1,1
io/legado/app/utils/ACacheKt,vf,-42.60,-92.24,-40.46,12,0,0,0,0,.kt,1,1,1
io/legado/app/utils/AnkoHelpsKt,vf,-41.72,-92.30,-41.60,15,0,0,0,0,.kt,1,1,1
io/legado/app/utils/AttemptResult,vf,-70.54,-123.54,-61.70,77,0,0,0,0,.kt,1,1,1
io/legado/app/utils/Base64,vf,-168.86,-182.04,-169.38,1052,0,0,0,0,.java,1,1,1
io/legado/app/utils/EncoderUtils,vf,538.00,-172.72,-100.42,286,0,0,0,0,.kt,1,1,1
io/legado/app/utils/EncodingDetect,vf,-63.52,-120.04,-64.62,102,0,0,0,0,.kt,1,1,1
io/legado/app/utils/FileExtensionsKt,vf,-42.70,-94.26,-42.60,13,0,0,0,0,.kt,1,1,1
io/legado/app/utils/FileUtils,vf,-308.64,-427.04,696.50,927,0,0,0,0,.kt,1,1,1
